Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
20:18:36,2569748,628568,15.57
20:18:39,2569748,628560,15.57
20:18:42,2569748,628560,15.57
20:18:45,2569748,628560,15.57
20:18:48,2569748,628560,15.57
20:18:51,2569748,628560,15.57
20:18:54,2569748,628560,15.57
20:18:57,2569748,628560,15.57
20:19:00,2569748,628560,15.57
20:19:03,2569748,628560,15.57
20:19:06,2569748,628560,15.57
20:19:09,2569748,628560,15.57
20:19:12,2569748,628560,15.57
20:19:15,2569748,628560,15.57
20:19:18,2569748,628560,15.57
20:19:21,2569748,628560,15.57
20:19:24,2569748,628560,15.57
20:19:27,2569748,628560,15.57
20:19:30,2569748,628560,15.57
20:19:33,2569748,628560,15.57
20:19:36,2569748,628560,15.57
20:19:39,2569748,628560,15.57
20:19:42,2569748,628560,15.57
20:19:45,2569748,628560,15.57
20:19:48,2569748,628560,15.57
20:19:51,2569748,628560,15.57
20:19:54,2569748,628560,15.57
20:19:57,2569748,628560,15.57
20:20:00,2569748,628560,15.57
20:20:03,2569748,628560,15.57
20:20:06,2569748,628560,15.57
20:20:09,2569748,628560,15.57
20:20:12,2569748,628560,15.57
20:20:15,2569748,628560,15.57
20:20:18,2569748,628560,15.57
20:20:21,2569748,628560,15.57
20:20:24,2569748,628560,15.57
20:20:27,2569748,628560,15.57
20:20:30,2569748,628560,15.57
20:20:33,2569748,628500,15.57
20:20:36,2569748,628500,15.57
20:20:39,2569748,628500,15.57
20:20:42,2569748,628500,15.57
20:20:45,2569748,628500,15.57
20:20:48,2569748,628500,15.57
20:20:51,2569748,628500,15.57
20:20:54,2569748,628500,15.57
20:20:57,2569748,628500,15.57
20:21:00,2569748,628500,15.57
20:21:03,2569748,628500,15.57
20:21:06,2569748,628500,15.57
20:21:09,2569748,628492,15.57
20:21:12,2569748,628492,15.57
20:21:15,2569624,628616,15.57
20:21:18,2569624,628616,15.57
20:21:21,2569624,628616,15.57
20:21:24,2569748,628492,15.57
20:21:27,2569748,628492,15.57
20:21:30,2569748,628492,15.57
20:21:33,2569748,628492,15.57
20:21:36,2569748,628492,15.57
20:21:39,2569748,628492,15.57
20:21:42,2569748,628492,15.57
20:21:45,2569748,628492,15.57
20:21:48,2569748,628492,15.57
20:21:51,2569748,628492,15.57
20:21:54,2569748,628492,15.57
20:21:57,2569748,628492,15.57
20:22:00,2569748,628492,15.57
20:22:03,2569748,628492,15.57
20:22:06,2569748,628492,15.57
20:22:09,2569748,628492,15.57
20:22:12,2569748,628492,15.57
20:22:15,2569748,628492,15.57
